step,bin_idx,weight,mean_reward,n_samples,n_falls,mean_ep_len,mean_vx_at_term,r_en
48,0,0.125000,0.000126,4122,4096,6.308,0.130288,0.000033
48,1,0.125000,0.010077,20,0,1000.000,0.168994,0.006300
48,2,0.125000,0.003265,19,0,1000.000,0.183534,0.005623
48,3,0.125000,0.000693,31,0,1000.000,0.169417,0.005838
48,4,0.125000,0.000083,34,0,1000.000,0.173591,0.005181
48,5,0.125000,0.000008,25,0,1000.000,0.181723,0.005386
48,6,0.125000,0.000000,24,0,1000.000,0.182214,0.005787
48,7,0.125000,0.000000,23,0,1000.000,0.175085,0.006508
96,0,0.125000,0.066800,26,1,973.231,0.180013,0.023733
96,1,0.125000,0.032782,24,1,988.333,0.143593,0.020416
96,2,0.125000,0.011723,23,0,1000.000,0.125154,0.020248
96,3,0.125000,0.006172,19,1,951.947,0.147218,0.034003
96,4,0.125000,0.000280,19,1,970.737,0.204294,0.020688
96,5,0.125000,0.000029,25,0,1000.000,0.233184,0.019614
96,6,0.125000,0.000001,20,0,1000.000,0.113967,0.018483
96,7,0.125000,0.000000,25,0,1000.000,0.179364,0.023012
144,0,0.125000,0.169408,38,8,888.368,0.113155,0.054012
144,1,0.125000,0.059776,35,2,974.314,0.128714,0.039501
144,2,0.125000,0.042135,41,9,864.293,0.114594,0.059332
144,3,0.125000,0.005370,28,3,960.893,0.141514,0.040288
144,4,0.125000,0.000947,31,4,929.581,0.140290,0.044266
144,5,0.125000,0.000084,23,4,908.522,0.145114,0.041530
144,6,0.125000,0.000006,25,6,891.400,0.132416,0.044032
144,7,0.125000,0.000000,28,4,923.750,0.168625,0.045536
192,0,0.125000,0.195115,38,12,877.079,0.107598,0.063245
192,1,0.125000,0.130818,30,8,881.667,0.119699,0.068422
192,2,0.125000,0.035144,26,6,935.885,0.110171,0.053252
192,3,0.125000,0.011974,22,7,848.591,0.098512,0.065928
192,4,0.125000,0.001883,33,11,850.182,0.115718,0.065919
192,5,0.125000,0.000103,25,5,917.640,0.074600,0.060080
192,6,0.125000,0.000006,33,4,949.939,0.135958,0.054474
192,7,0.125000,0.000000,36,2,995.111,0.112884,0.051222
240,0,0.125000,0.259920,34,8,890.382,0.101667,0.080516
240,1,0.125000,0.149275,32,7,882.812,0.113119,0.081805
240,2,0.125000,0.042410,25,4,948.480,0.101337,0.068572
