step,bin_idx,weight,mean_reward,n_samples,n_falls,mean_ep_len,mean_vx_at_term,r_en
48,0,0.125000,0.000089,4131,4096,8.473,0.130370,0.000000
48,1,0.125000,0.001474,32,0,1000.000,0.168433,0.000000
48,2,0.125000,0.000026,20,0,1000.000,0.163937,0.000000
48,3,0.125000,0.000000,25,0,1000.000,0.226488,0.000000
48,4,0.125000,0.000000,27,0,1000.000,0.194006,0.000000
48,5,0.125000,0.000000,21,0,1000.000,0.190746,0.000000
48,6,0.125000,0.000000,18,0,1000.000,0.210433,0.000000
48,7,0.125000,0.000000,33,0,1000.000,0.185968,0.000000
96,0,0.125000,0.038466,26,1,986.192,0.181148,0.000000
96,1,0.125000,0.005723,19,1,965.105,0.125308,0.000000
96,2,0.125000,0.000064,23,0,1000.000,0.184484,0.000000
96,3,0.125000,0.000001,24,0,1000.000,0.221760,0.000000
96,4,0.125000,0.000000,21,0,1000.000,0.184901,0.000000
96,5,0.125000,0.000000,18,0,1000.000,0.193422,0.000000
96,6,0.125000,0.000000,27,0,1000.000,0.166053,0.000000
96,7,0.125000,0.000000,24,0,1000.000,0.175935,0.000000
144,0,0.125000,0.147031,28,7,864.214,0.146823,0.000000
144,1,0.125000,0.008716,35,3,981.029,0.168015,0.000000
144,2,0.125000,0.000177,20,2,981.500,0.152421,0.000000
144,3,0.125000,0.000003,23,2,979.174,0.142771,0.000000
144,4,0.125000,0.000000,25,1,998.120,0.184855,0.000000
144,5,0.125000,0.000000,28,1,993.857,0.175759,0.000000
144,6,0.125000,0.000000,14,0,1000.000,0.135896,0.000000
144,7,0.125000,0.000000,18,0,1000.000,0.133988,0.000000
192,0,0.125000,0.148174,33,10,868.151,0.098519,0.000000
192,1,0.125000,0.028208,33,5,902.182,0.104817,0.000000
192,2,0.125000,0.000612,41,8,946.049,0.136084,0.000000
192,3,0.125000,0.000007,30,3,930.800,0.114230,0.000000
192,4,0.125000,0.000000,36,2,958.194,0.131758,0.000000
192,5,0.125000,0.000000,26,3,944.385,0.106882,0.000000
192,6,0.125000,0.000000,27,0,1000.000,0.116618,0.000000
192,7,0.125000,0.000000,25,0,1000.000,0.127689,0.000000
240,0,0.125000,0.315347,27,15,680.704,0.090075,0.000000
240,1,0.125000,0.038080,39,12,822.180,0.122363,0.000000
240,2,0.125000,0.000961,37,10,891.730,0.090348,0.000000
240,3,0.125000,0.000004,26,3,948.692,0.125488,0.000000
240,4,0.125000,0.000000,23,0,1000.000,0.106662,0.000000
240,5,0.125000,0.000000,32,3,955.062,0.082673,0.000000
240,6,0.125000,0.000000,22,1,984.955,0.109653,0.000000
240,7,0.125000,0.000000,26,2,958.962,0.139961,0.000000
288,0,0.125000,0.310420,39,17,746.872,0.099170,0.000000
288,1,0.125000,0.040883,30,13,836.867,0.111288,0.000000
288,2,0.125000,0.001665,36,9,874.028,0.092412,0.000000
288,3,0.125000,0.000004,17,2,894.824,0.131232,0.000000
288,4,0.125000,0.000000,30,0,1000.000,0.101223,0.000000
288,5,0.125000,0.000000,23,2,940.174,0.134925,0.000000
288,6,0.125000,0.000000,20,1,966.950,0.187946,0.000000
288,7,0.125000,0.000000,30,0,1000.000,0.124297,0.000000
336,0,0.125000,0.351374,47,24,705.617,0.090760,0.000000
336,1,0.125000,0.061796,29,12,759.897,0.111350,0.000000
336,2,0.125000,0.002370,34,12,782.706,0.115217,0.000000
336,3,0.125000,0.000030,29,8,832.207,0.101439,0.000000
336,4,0.125000,0.000000,22,4,893.818,0.098273,0.000000
336,5,0.125000,0.000000,23,1,960.391,0.130566,0.000000
336,6,0.125000,0.000000,26,2,948.962,0.142097,0.000000
336,7,0.125000,0.000000,16,0,1000.000,0.144765,0.000000
384,0,0.125000,0.430575,58,41,624.966,0.082976,0.000000
384,1,0.125000,0.081082,56,34,688.339,0.086519,0.000000
