condition,seed,bin_idx,rollout,fall_step,tracking_error,epte_sp,v_x_mean,v_x_signed_mean,vfc,action_rate,term_reason,duty_factor,stride_freq_hz,stride_length_m
uniform,0,0,0,999,0.2071877419948578,0.20798057317733765,0.2831716537475586,0.28311917185783386,1.1324766874313354,0.2601175606250763,time_out,0.5922499895095825,2.9124999046325684,0.09720830619335175
uniform,0,0,1,999,0.33438733220100403,0.3350529670715332,0.3169806897640228,0.31663691997528076,1.266547679901123,0.26297974586486816,time_out,0.5422499775886536,3.1500000953674316,0.10051965713500977
uniform,0,0,2,999,0.30414626002311707,0.30484211444854736,0.30020827054977417,0.29961538314819336,1.1984615325927734,0.25678884983062744,time_out,0.5462499856948853,3.012500047683716,0.09945739060640335
uniform,0,0,3,999,0.4247201681137085,0.42529547214508057,0.14766202867031097,0.14407020807266235,0.5762808322906494,0.2149314135313034,time_out,0.6797499656677246,1.8874999284744263,0.0763285905122757
uniform,0,0,4,999,0.33548420667648315,0.336148738861084,0.32490405440330505,0.3248153030872345,1.299261212348938,0.2692904472351074,time_out,0.5702499747276306,3.200000047683716,0.10150478035211563
uniform,0,0,5,999,0.2481604516506195,0.24891230463981628,0.29942837357521057,0.29917433857917786,1.1966973543167114,0.26177722215652466,time_out,0.5647500157356262,3.0999999046325684,0.09650785475969315
uniform,0,0,6,999,0.24666474759578705,0.2474180907011032,0.2822677791118622,0.2810286581516266,1.1241146326065063,0.2572857141494751,time_out,0.5824999809265137,2.9375,0.09566932916641235
uniform,0,0,7,999,0.21851202845573425,0.2192935347557068,0.2745411694049835,0.2742956578731537,1.0971826314926147,0.25314033031463623,time_out,0.5717499852180481,2.9124999046325684,0.09417876601219177
uniform,0,0,8,999,0.25425606966018677,0.25500181317329407,0.19184108078479767,0.19155725836753845,0.7662290334701538,0.22961166501045227,time_out,0.6380000114440918,2.1499998569488525,0.08909640461206436
uniform,0,0,9,999,0.3210413455963135,0.32172033190727234,0.3199595510959625,0.3198191821575165,1.279276728630066,0.26664331555366516,time_out,0.5677499771118164,3.0749998092651367,0.10400624573230743
uniform,0,0,10,999,0.1903969794511795,0.19120660424232483,0.2600474953651428,0.25831669569015503,1.0332667827606201,0.2509363293647766,time_out,0.5954999923706055,2.75,0.0939333438873291
uniform,0,0,11,999,0.3505993187427521,0.35124874114990234,0.32869118452072144,0.32864102721214294,1.3145641088485718,0.26837223768234253,time_out,0.5412499904632568,3.2749998569488525,0.10034841299057007
uniform,0,0,12,999,0.20304082334041595,0.2038377970457077,0.28498196601867676,0.28479743003845215,1.1391897201538086,0.25572213530540466,time_out,0.5877499580383301,2.862499952316284,0.09949255734682083
uniform,0,0,13,999,0.28537052869796753,0.2860851585865021,0.29479140043258667,0.294079065322876,1.176316261291504,0.2582279145717621,time_out,0.5450000166893005,2.987499952316284,0.09843651205301285
uniform,0,0,14,999,0.8345807194709778,0.8347461819648743,0.09780225902795792,0.07735613733530045,0.3094245493412018,0.16684004664421082,time_out,0.6929999589920044,0.9375,0.08251321315765381
uniform,0,0,15,999,0.48954859375953674,0.4900590777397156,0.1323828250169754,0.12975946068763733,0.5190378427505493,0.20500300824642181,time_out,0.6997500061988831,1.9000000953674316,0.0682944506406784
uniform,0,0,16,999,0.2097691148519516,0.21055935323238373,0.2718534469604492,0.27010807394981384,1.0804322957992554,0.2524619400501251,time_out,0.5879999995231628,2.8125,0.09603842347860336
uniform,0,0,17,999,0.3338446617126465,0.33451083302497864,0.17568813264369965,0.17394906282424927,0.6957962512969971,0.22172044217586517,time_out,0.6497499942779541,2.1875,0.07951956987380981
uniform,0,0,18,999,0.3785811960697174,0.37920263409614563,0.2830300033092499,0.2816777527332306,1.1267110109329224,0.25249210000038147,time_out,0.5632500052452087,2.9749999046325684,0.09468159824609756
uniform,0,0,19,999,0.18045170605182648,0.1812712699174881,0.270184725522995,0.2700258493423462,1.0801033973693848,0.2538282573223114,time_out,0.5932499766349792,2.825000047683716,0.09558437019586563
