step,bin_idx,weight,mean_reward,n_samples,n_falls,mean_ep_len,mean_vx_at_term,r_en
48,0,0.125000,0.000136,4128,4096,7.752,0.130452,0.000039
48,1,0.125000,0.011287,33,0,1000.000,0.164236,0.005787
48,2,0.125000,0.003602,20,0,1000.000,0.163967,0.005057
48,3,0.125000,0.000780,26,0,1000.000,0.219426,0.007053
48,4,0.125000,0.000096,27,0,1000.000,0.194269,0.006114
48,5,0.125000,0.000007,21,0,1000.000,0.191273,0.007435
48,6,0.125000,0.000000,19,0,1000.000,0.200212,0.007500
48,7,0.125000,0.000000,33,0,1000.000,0.186714,0.006431
96,0,0.125000,0.061914,26,1,986.192,0.187176,0.022578
96,1,0.125000,0.035410,19,1,965.105,0.125615,0.021864
96,2,0.125000,0.010160,23,0,1000.000,0.185219,0.020945
96,3,0.125000,0.002016,24,0,1000.000,0.223152,0.022746
96,4,0.125000,0.000245,21,0,1000.000,0.194909,0.019807
96,5,0.125000,0.000018,18,0,1000.000,0.189211,0.023000
96,6,0.125000,0.000001,27,0,1000.000,0.160309,0.021887
96,7,0.125000,0.000000,24,0,1000.000,0.177511,0.021726
144,0,0.125000,0.171775,26,5,901.885,0.151548,0.054955
144,1,0.125000,0.056398,35,3,981.086,0.179249,0.037885
144,2,0.125000,0.019012,20,2,981.600,0.172816,0.036127
144,3,0.125000,0.004708,24,3,962.042,0.131009,0.041295
144,4,0.125000,0.000523,25,1,998.120,0.189483,0.035655
144,5,0.125000,0.000041,28,1,993.821,0.176076,0.037032
144,6,0.125000,0.000002,14,0,1000.000,0.139940,0.039428
144,7,0.125000,0.000000,18,0,1000.000,0.150427,0.036718
192,0,0.125000,0.208420,31,8,874.161,0.116925,0.072283
192,1,0.125000,0.117778,32,4,920.562,0.108024,0.070090
192,2,0.125000,0.035416,42,8,933.286,0.142001,0.057297
192,3,0.125000,0.007084,28,1,972.036,0.126904,0.057346
192,4,0.125000,0.000701,34,0,1000.000,0.124224,0.050107
192,5,0.125000,0.000085,27,4,943.037,0.088998,0.054744
192,6,0.125000,0.000004,30,3,949.567,0.119451,0.052988
192,7,0.125000,0.000000,26,1,991.615,0.134801,0.053368
240,0,0.125000,0.340083,22,10,761.318,0.115003,0.103674
240,1,0.125000,0.147141,35,8,877.457,0.107184,0.082481
240,2,0.125000,0.046117,35,8,917.286,0.106960,0.075035
240,3,0.125000,0.010524,28,5,918.000,0.121674,0.075046
240,4,0.125000,0.001433,26,3,944.462,0.109455,0.071768
240,5,0.125000,0.000129,32,3,940.344,0.079467,0.077049
240,6,0.125000,0.000003,22,1,995.591,0.124480,0.064580
240,7,0.125000,0.000000,25,1,963.320,0.159050,0.071998
288,0,0.125000,0.408705,37,14,759.892,0.107100,0.134719
288,1,0.125000,0.232447,32,15,776.062,0.090250,0.112581
288,2,0.125000,0.059890,35,8,913.714,0.091883,0.089900
288,3,0.125000,0.023183,22,7,752.727,0.146573,0.129220
288,4,0.125000,0.002053,35,6,903.400,0.101922,0.099841
288,5,0.125000,0.000088,21,0,1000.000,0.144000,0.076479
288,6,0.125000,0.000006,20,1,971.700,0.181905,0.080295
288,7,0.125000,0.000000,31,1,980.516,0.132779,0.084926
336,0,0.125000,0.456602,51,27,716.529,0.078482,0.154372
336,1,0.125000,0.278205,31,14,741.258,0.113744,0.152645
336,2,0.125000,0.109240,40,18,721.550,0.112448,0.160178
336,3,0.125000,0.014720,25,4,909.000,0.095333,0.114267
336,4,0.125000,0.002559,25,7,844.600,0.089763,0.124288
336,5,0.125000,0.000217,26,4,875.885,0.095510,0.120805
336,6,0.125000,0.000009,27,4,923.593,0.098379,0.109155
336,7,0.125000,0.000000,21,5,902.286,0.140418,0.115504
384,0,0.125000,0.515388,43,26,703.512,0.089253,0.174901
384,1,0.125000,0.326781,48,26,695.375,0.076668,0.185277
384,2,0.125000,0.111335,51,22,754.490,0.099679,0.171146
384,3,0.125000,0.026664,34,13,753.324,0.109977,0.164660
384,4,0.125000,0.002418,34,8,901.882,0.129792,0.131301
384,5,0.125000,0.000222,25,7,811.920,0.132330,0.153747
384,6,0.125000,0.000012,28,7,841.357,0.086492,0.150042
384,7,0.125000,0.000000,24,6,860.917,0.113041,0.139115
432,0,0.125000,0.629571,75,50,603.267,0.108360,0.217883
432,1,0.125000,0.349731,56,33,700.893,0.096825,0.190396
432,2,0.125000,0.149100,55,29,651.945,0.084773,0.199228
432,3,0.125000,0.030852,38,12,778.526,0.108973,0.179142
432,4,0.125000,0.004255,50,16,773.280,0.111598,0.174126
432,5,0.125000,0.000343,31,9,828.226,0.099424,0.162738
432,6,0.125000,0.000047,26,10,701.269,0.087225,0.194263
432,7,0.125000,0.000001,30,6,876.667,0.123648,0.150227
480,0,0.125000,0.666236,63,47,608.460,0.098267,0.243542
480,1,0.125000,0.417406,87,64,601.851,0.078241,0.235376
480,2,0.125000,0.160069,54,33,636.852,0.115566,0.227730
480,3,0.125000,0.043423,61,40,582.475,0.063291,0.233958
480,4,0.125000,0.005661,61,32,709.738,0.093716,0.208784
480,5,0.125000,0.000487,44,21,748.977,0.098241,0.196187
480,6,0.125000,0.000025,39,14,790.128,0.099485,0.190809
480,7,0.125000,0.000001,34,9,824.118,0.110712,0.178825
528,0,0.125000,0.747760,98,83,505.459,0.085433,0.270528
528,1,0.125000,0.396860,85,60,691.906,0.080858,0.233272
528,2,0.125000,0.181014,92,71,589.620,0.081572,0.252546
528,3,0.125000,0.049319,84,67,527.964,0.070928,0.268508
528,4,0.125000,0.009027,71,55,480.507,0.074404,0.274716
528,5,0.125000,0.000707,63,40,662.952,0.114144,0.227536
528,6,0.125000,0.000055,68,40,635.559,0.086192,0.242272
528,7,0.125000,0.000002,50,30,645.060,0.090934,0.244582
576,0,0.125000,0.752541,82,65,540.341,0.082931,0.281586
576,1,0.125000,0.496284,91,80,512.505,0.076389,0.284273
576,2,0.125000,0.204465,127,113,496.835,0.092634,0.292739
576,3,0.125000,0.051628,139,118,547.770,0.089735,0.282767
576,4,0.125000,0.008165,96,83,552.927,0.116809,0.276702
576,5,0.125000,0.001054,107,91,485.084,0.095020,0.291763
576,6,0.125000,0.000069,102,77,585.412,0.118151,0.274809
576,7,0.125000,0.000003,99,74,534.465,0.084812,0.280553
624,0,0.125000,0.791326,58,51,493.931,0.079883,0.296841
624,1,0.125000,0.536574,75,68,450.693,0.073256,0.306415
624,2,0.125000,0.228024,81,76,432.049,0.090572,0.309324
624,3,0.125000,0.059479,109,99,475.835,0.103375,0.310148
624,4,0.125000,0.010883,120,110,418.875,0.101687,0.321050
624,5,0.125000,0.001050,109,88,493.147,0.133570,0.298124
624,6,0.125000,0.000088,124,102,505.419,0.116632,0.300903
624,7,0.125000,0.000004,135,116,482.400,0.109193,0.303930
672,0,0.125000,0.830190,53,43,431.679,0.089696,0.312360
672,1,0.125000,0.556660,52,44,434.885,0.121597,0.319181
672,2,0.125000,0.247599,68,64,381.147,0.098625,0.334444
672,3,0.125000,0.057503,101,80,509.822,0.129637,0.307483
672,4,0.125000,0.010957,124,110,422.597,0.141417,0.322586
672,5,0.125000,0.001334,132,123,425.417,0.115112,0.332734
672,6,0.125000,0.000097,134,124,445.388,0.116579,0.320327
672,7,0.125000,0.000005,155,139,465.987,0.133866,0.322284
720,0,0.125000,0.877751,67,60,345.104,0.132372,0.339482
720,1,0.125000,0.574403,91,78,387.835,0.094876,0.330599
720,2,0.125000,0.252802,93,87,339.645,0.137448,0.341707
720,3,0.125000,0.068589,115,107,349.330,0.135489,0.339917
720,4,0.125000,0.012667,168,157,361.244,0.164526,0.348241
720,5,0.125000,0.001639,131,125,337.466,0.192670,0.355814
720,6,0.125000,0.000129,167,160,322.772,0.169961,0.353903
720,7,0.125000,0.000006,168,162,399.804,0.185323,0.336632
768,0,0.125000,0.890303,77,72,290.117,0.157558,0.347908
768,1,0.125000,0.610135,104,98,287.721,0.138962,0.349562
768,2,0.125000,0.263144,120,114,325.658,0.158365,0.347306
768,3,0.125000,0.076597,141,138,259.858,0.176164,0.362382
768,4,0.125000,0.012734,146,143,334.575,0.200923,0.357095
768,5,0.125000,0.001754,186,177,301.333,0.234014,0.366774
768,6,0.125000,0.000144,190,185,319.589,0.225028,0.366403
768,7,0.125000,0.000009,217,210,307.829,0.214691,0.373142
816,0,0.125000,0.894695,98,90,306.582,0.163520,0.347362
816,1,0.125000,0.617801,124,119,251.960,0.208267,0.361076
816,2,0.125000,0.264061,140,135,271.186,0.185500,0.359098
816,3,0.125000,0.074947,165,163,266.103,0.247953,0.372870
816,4,0.125000,0.016680,191,186,239.445,0.233105,0.385814
816,5,0.125000,0.002018,170,165,259.788,0.211111,0.381303
816,6,0.125000,0.000185,224,219,217.705,0.244646,0.386287
816,7,0.125000,0.000011,186,181,246.785,0.259107,0.385343
864,0,0.125000,0.909968,78,76,267.115,0.159350,0.374362
864,1,0.125000,0.599999,116,111,261.707,0.177482,0.359173
864,2,0.125000,0.277184,133,132,221.271,0.230837,0.376988
864,3,0.125000,0.078924,144,142,220.146,0.252075,0.385551
864,4,0.125000,0.016299,184,183,194.065,0.309212,0.399401
864,5,0.125000,0.002261,155,153,181.303,0.250812,0.396470
864,6,0.125000,0.000221,170,170,148.718,0.283833,0.410795
864,7,0.125000,0.000015,174,172,157.868,0.278464,0.412039
912,0,0.125000,0.904769,81,77,282.247,0.207632,0.352839
912,1,0.125000,0.619976,103,100,252.136,0.208537,0.374525
912,2,0.125000,0.283440,113,112,200.301,0.305179,0.389640
912,3,0.125000,0.087119,152,152,179.013,0.311476,0.401608
912,4,0.125000,0.016312,162,161,169.920,0.344682,0.399857
912,5,0.125000,0.002463,189,189,134.524,0.304738,0.415595
912,6,0.125000,0.000240,191,190,116.534,0.319438,0.425436
912,7,0.125000,0.000016,207,207,130.111,0.293233,0.430038
960,0,0.125000,0.910047,67,62,271.612,0.188938,0.361162
960,1,0.125000,0.629043,104,101,246.202,0.277317,0.382496
960,2,0.125000,0.285398,167,165,186.401,0.353026,0.395401
960,3,0.125000,0.083838,173,171,177.832,0.345639,0.401616
960,4,0.125000,0.018804,205,205,147.683,0.354132,0.419414
960,5,0.125000,0.002715,217,217,119.935,0.329797,0.433503
960,6,0.125000,0.000285,183,183,103.721,0.325710,0.443914
960,7,0.125000,0.000020,171,171,93.661,0.314964,0.450876
1008,0,0.125000,0.916313,30,28,293.333,0.234271,0.352828
1008,1,0.125000,0.620853,90,89,232.156,0.305681,0.377764
1008,2,0.125000,0.297794,123,122,223.740,0.410193,0.411845
1008,3,0.125000,0.092463,183,182,166.590,0.364284,0.417756
1008,4,0.125000,0.019338,169,169,134.805,0.380524,0.433853
1008,5,0.125000,0.003157,170,170,102.812,0.337888,0.464239
1008,6,0.125000,0.000353,175,175,90.509,0.320132,0.481138
1008,7,0.125000,0.000024,175,175,77.120,0.323363,0.483392
1056,0,0.125000,0.912175,34,33,263.765,0.272118,0.381630
1056,1,0.125000,0.644750,60,60,232.017,0.438853,0.402495
1056,2,0.125000,0.308741,107,107,198.925,0.428235,0.418591
1056,3,0.125000,0.100874,147,147,154.497,0.380118,0.444860
1056,4,0.125000,0.023546,166,166,118.554,0.394319,0.469340
1056,5,0.125000,0.003334,171,170,96.632,0.351327,0.480919
1056,6,0.125000,0.000369,147,147,75.687,0.337094,0.489887
1056,7,0.125000,0.007513,187,185,84.481,0.242339,0.490990
1104,0,0.125000,0.922446,23,22,351.739,0.346163,0.387964
1104,1,0.125000,0.672946,71,70,233.141,0.406231,0.417593
1104,2,0.125000,0.318786,148,147,200.230,0.403780,0.433198
1104,3,0.125000,0.108951,202,202,135.916,0.393634,0.463544
1104,4,0.125000,0.024717,184,184,101.636,0.401200,0.488953
1104,5,0.125000,0.004928,202,201,90.495,0.347353,0.500745
1104,6,0.125000,0.000415,149,149,72.705,0.297648,0.507137
1104,7,0.125000,0.000032,142,142,65.049,0.323089,0.511733
1152,0,0.125000,0.921799,46,44,297.413,0.327406,0.392284
1152,1,0.125000,0.670063,152,151,274.316,0.355938,0.418154
1152,2,0.125000,0.330110,245,244,217.494,0.382833,0.446126
1152,3,0.125000,0.113497,207,207,140.039,0.370142,0.474858
1152,4,0.125000,0.031058,156,153,114.635,0.336526,0.499021
1152,5,0.125000,0.004303,161,161,75.739,0.360071,0.506279
1152,6,0.125000,0.000490,147,147,62.401,0.305274,0.515988
1152,7,0.125000,0.013849,131,129,74.962,0.308424,0.518524
1200,0,0.125000,0.931260,88,87,342.773,0.371674,0.412508
1200,1,0.125000,0.688649,256,255,243.363,0.422418,0.438283
1200,2,0.125000,0.344790,322,321,201.326,0.379616,0.459877
1200,3,0.125000,0.135957,223,221,117.601,0.341982,0.496091
1200,4,0.125000,0.039044,217,215,82.899,0.301620,0.514258
1200,5,0.125000,0.008283,197,196,67.518,0.317757,0.523788
1200,6,0.125000,0.000635,178,178,59.225,0.266216,0.520653
1200,7,0.125000,0.005164,176,175,60.335,0.243839,0.520334
1248,0,0.125000,0.927978,84,83,327.655,0.454137,0.418722
1248,1,0.125000,0.696815,205,205,245.785,0.423543,0.448791
1248,2,0.125000,0.367564,201,200,186.642,0.414546,0.483108
1248,3,0.125000,0.132985,161,161,77.708,0.405888,0.511267
1248,4,0.125000,0.032694,211,211,65.635,0.395962,0.522862
1248,5,0.125000,0.005235,181,181,58.834,0.359214,0.527353
1248,6,0.125000,0.005428,190,189,59.995,0.332563,0.527858
1248,7,0.125000,0.000043,188,188,54.660,0.299035,0.529756
1296,0,0.125000,0.921101,36,35,299.222,0.398990,0.424203
1296,1,0.125000,0.701905,104,104,261.106,0.444267,0.448994
1296,2,0.125000,0.375699,147,147,127.891,0.456443,0.495155
