condition,seed,bin_idx,rollout,fall_step,tracking_error,epte_sp,v_x_mean,v_x_signed_mean,vfc,action_rate,term_reason,duty_factor,stride_freq_hz,stride_length_m
uniform,0,0,0,999,0.7756547331809998,0.7758791446685791,0.08518905192613602,0.0570564866065979,0.2282259464263916,0.16951750218868256,time_out,0.7884999513626099,2.075000047683716,0.027497101575136185
uniform,0,0,1,999,0.7784326672554016,0.7786542773246765,0.0821945071220398,0.05573444813489914,0.22293779253959656,0.17093457281589508,time_out,0.7879999876022339,2.0749998092651367,0.026859978213906288
uniform,0,0,2,999,0.7349367737770081,0.735201895236969,0.09042701870203018,0.0674029290676117,0.2696117162704468,0.17344506084918976,time_out,0.752500057220459,2.4375,0.02765248343348503
uniform,0,0,3,999,0.7692136168479919,0.7694444060325623,0.09384801983833313,0.05844053998589516,0.23376215994358063,0.1765645295381546,time_out,0.7652499675750732,2.012500047683716,0.029038777574896812
uniform,0,0,4,999,0.7482910752296448,0.748542845249176,0.08852746337652206,0.06371763348579407,0.25487053394317627,0.17412534356117249,time_out,0.7760000228881836,2.1374998092651367,0.02980942092835903
uniform,0,0,5,999,0.8108418583869934,0.8110310435295105,0.07261121273040771,0.04756150022149086,0.19024600088596344,0.17557702958583832,time_out,0.8079999685287476,1.9250000715255737,0.02470727264881134
uniform,0,0,6,999,0.7521128058433533,0.7523607611656189,0.08691228181123734,0.06398069858551025,0.255922794342041,0.1762082576751709,time_out,0.7747499942779541,2.4124999046325684,0.0265204980969429
uniform,0,0,7,999,0.8012270331382751,0.8014258146286011,0.08613869547843933,0.0505337156355381,0.2021348625421524,0.17497794330120087,time_out,0.7795000076293945,2.2750000953674316,0.022212620824575424
uniform,0,0,8,999,0.8592437505722046,0.8593845367431641,0.07499168813228607,0.03561300411820412,0.14245201647281647,0.16705754399299622,time_out,0.8257499933242798,1.6624999046325684,0.021421357989311218
uniform,0,0,9,999,0.7285230159759521,0.728794515132904,0.09228504449129105,0.07185384631156921,0.28741538524627686,0.17829813063144684,time_out,0.7757500410079956,2.5250000953674316,0.02845696732401848
uniform,0,0,10,999,0.8229677677154541,0.823144793510437,0.07268757373094559,0.044883131980895996,0.17953252792358398,0.17051458358764648,time_out,0.8205000162124634,1.7999999523162842,0.024935074150562286
uniform,0,0,11,999,0.7616984844207764,0.7619367837905884,0.09727776050567627,0.06512725353240967,0.26050901412963867,0.18167269229888916,time_out,0.7817500233650208,2.2125000953674316,0.02943604625761509
uniform,0,0,12,999,0.7409842610359192,0.741243302822113,0.09218192100524902,0.06762778759002686,0.2705111503601074,0.1740482598543167,time_out,0.7775000333786011,2.362499952316284,0.028625519946217537
uniform,0,0,13,999,0.7265938520431519,0.7268672585487366,0.09409578144550323,0.06939804553985596,0.27759218215942383,0.17578284442424774,time_out,0.7752500176429749,2.4000000953674316,0.028915850445628166
uniform,0,0,14,999,0.7131184339523315,0.7134053707122803,0.09147119522094727,0.07247762382030487,0.2899104952812195,0.17613686621189117,time_out,0.7684999704360962,2.3499999046325684,0.030841542407870293
uniform,0,0,15,999,0.7427381277084351,0.7429953813552856,0.09572038799524307,0.0702662467956543,0.2810649871826172,0.17882691323757172,time_out,0.7725000381469727,2.3125,0.03038540482521057
uniform,0,0,16,999,0.827986478805542,0.8281585574150085,0.08454740047454834,0.04341145604848862,0.17364582419395447,0.16817237436771393,time_out,0.7994999885559082,2.0,0.02170572802424431
uniform,0,0,17,999,0.7206348180770874,0.7209142446517944,0.09454232454299927,0.07058021426200867,0.28232085704803467,0.17435431480407715,time_out,0.7645000219345093,2.5625,0.02754349820315838
uniform,0,0,18,999,0.8288286924362183,0.828999936580658,0.07130071520805359,0.04534825682640076,0.18139302730560303,0.1770787239074707,time_out,0.812000036239624,1.7375000715255737,0.026099715381860733
uniform,0,0,19,999,0.8310337662696838,0.8312028050422668,0.07564785331487656,0.04249175265431404,0.16996701061725616,0.17506060004234314,time_out,0.7917500138282776,1.712499976158142,0.02481270208954811
uniform,0,0,20,999,0.7645823955535889,0.7648178339004517,0.08661632984876633,0.05953003838658333,0.2381201535463333,0.17455776035785675,time_out,0.8052499890327454,2.0500001907348633,0.029039040207862854
uniform,0,0,21,999,0.8154107928276062,0.8155954480171204,0.06906598806381226,0.05063067749142647,0.20252270996570587,0.17339302599430084,time_out,0.8235000371932983,1.962499976158142,0.025799071416258812
